,Unnamed: 0,totalprice,unitprice,shoufu,structure,jianzhumianji,shiyongmianji,shijianratio,year,totalfloor,louceng,chaoxiang,zhuangxiu,zhuzhiaweizhi,dis,y1,y2,c1,c2,x1,x2,sqjuli,fsqjuli
517,517,169.0,19883.0,50,"[u'2', u'1', u'1', u'1']",85.0,69.0,0.8117647058823529,2010,35,2,None,4,"(24.619705, 118.128598)",同安区,13.0,27.0,8.0,8.0,16.0,16.0,"[19104.8480604478, 16875.186128915644, 13155.331564260821, 16226.650311096651, 13710.798528329791, 13566.904496618263, 16389.225996486784, 15757.677706743301, 20735.272283686827, 17229.477353216196, 17229.477353216196, 6218.340953876677, 18301.40282934416, 12421.201164687958, 9461.408293267787, 17518.095086721067]","[16646.791638940766, 14748.979254887077, 12137.631650688789, 15737.417937569777, 13565.699619046678]"
518,518,950.0,67376.0,285,"[u'2', u'2', u'1', u'2']",141.0,140.0,0.9929078014184397,2013,30,2,4,5,"(24.47635, 118.18522)",思明区,20.0,51.0,14.0,14.0,33.0,16.0,"[11093.25560723272, 7326.6203867761005, 6519.4276484019465, 14853.038112201844, 5752.514329854139, 3325.2562961382637, 2608.4934357701545, 6404.163127937587, 10786.62631659652, 7746.648536849934, 7746.648536849934, 14275.459740145268, 15559.417022696776, 9194.815990228113, 26092.25615637945, 15599.85878720307]","[10175.308099482088, 9250.396906425733, 4881.002581382299, 1902.274706351122, 6395.018033615891]"
519,519,528.0,44937.0,158,"[u'4', u'2', u'1', u'2']",117.0,116.0,0.9914529914529915,1999,7,1,None,4,"(24.46374, 118.08035)",思明区,18.0,42.0,31.0,15.0,15.0,28.0,"[1160.4592473108492, 3396.4868805266524, 6256.880507772432, 5494.180239424799, 6394.744693219903, 10737.953862465869, 8118.916205507898, 4497.418682138631, 3158.6395464452476, 2989.592873860518, 2989.592873860518, 12268.289096712007, 5250.029169710799, 17577.0444098505, 27071.000991764085, 5629.208276677008]","[1311.7542676163673, 3285.46762817597, 11706.45228640641, 11986.907664565768, 5964.701765372879]"
520,520,308.0,36236.0,92,"[u'2', u'1', u'1', u'1']",85.0,84.0,0.9882352941176471,2000,7,3,None,4,"(24.472, 118.17247)",思明区,29.0,56.0,18.0,18.0,10.0,18.0,"[9726.241281264234, 5991.838770309028, 5632.32019926192, 13669.152857737407, 4829.447706421953, 3694.768500097063, 1336.2927958709424, 5147.4230488597495, 9410.876133510099, 6399.157126456509, 6399.157126456509, 13856.005671264293, 14290.254909951009, 10242.274500461872, 26284.641579919346, 14366.61600212253]","[8887.131713310762, 8084.381738046217, 5341.319960456758, 3097.673801489358, 5442.559988417722]"
521,521,248.0,25834.0,74,"[u'2', u'1', u'1', u'1']",96.0,95.0,0.9895833333333334,2003,6,2,5,4,"(24.56602, 118.0565)",集美区,49.0,89.0,12.0,12.0,26.0,14.0,"[12679.323962899463, 12301.640073052333, 10132.926207151437, 7776.077466090395, 10944.16986230351, 13866.667582285874, 14557.002103769835, 11837.396570196208, 14739.818127540757, 12414.104949759405, 12414.104949759405, 3811.3403763227434, 9829.11641134476, 17188.720228700346, 16807.51148911682, 8931.554900537656]","[10500.567805124914, 9279.200420122721, 13341.572007564577, 16278.868499449523, 10402.229341675858]"
522,522,378.0,60968.0,113,"[u'2', u'1', u'1', u'1']",62.0,61.0,0.9838709677419355,2008,38,1,1,4,"(24.4594, 118.08031)",思明区,18.0,44.0,30.0,14.0,16.0,28.0,"[687.0914039877581, 3499.4901435769707, 6586.4429799849295, 5827.970728014388, 6678.413479609349, 10955.859894043744, 8207.252363162552, 4686.7463174976965, 2697.898074661615, 3056.0087787170573, 3056.0087787170573, 12746.83838679094, 5432.196667048911, 17848.85221077083, 27546.265634183015, 5875.894587753762]","[1771.3282745672282, 3720.8707753495128, 11972.50375121999, 12121.662253554565, 6278.215643121932]"
523,523,216.0,26667.0,64,"[u'3', u'2', u'1', u'2']",81.0,,None,2015,32,2,5,4,"(24.60455, 118.12297)",集美区,11.0,79.0,8.0,8.0,18.0,18.0,"[17335.513634801464, 15157.520767756487, 11481.905266059566, 14518.2807166875, 12066.055643835702, 12251.929105280153, 14876.95198575371, 14065.375842438738, 18978.58773089567, 15502.747985233053, 15502.747985233053, 4547.0077367895365, 16584.152787696843, 11957.84123954549, 11124.201774412804, 15814.746642981108]","[14877.312031802963, 12985.431855197698, 10912.954276548848, 14513.781358572998, 11890.32200280241]"
524,524,260.0,26000.0,78,"[u'3', u'2', u'1', u'1']",100.0,99.0,0.99,2003,7,2,None,3,"(24.49081, 118.03291)",海沧区,27.0,41.0,9.0,9.0,14.0,14.0,"[6226.191245518015, 8554.842013473435, 9581.557809975655, 1057.4588086487058, 10128.900583047709, 14601.376708210457, 12966.147861867425, 9155.134619944274, 8256.876075048256, 8298.081149088024, 8298.081149088024, 11040.783270636353, 1179.587626696574, 20602.486469122603, 25423.38703064319, 266.27849995951016]","[5555.254349038743, 6315.372314095005, 15070.616934484347, 16403.46483245778, 9503.9315561266]"
525,525,1200.0,57417.0,360,"[u'5', u'3', u'1', u'5']",209.0,208.0,0.9952153110047847,2005,2,2,None,5,"(24.45464, 118.08312)",思明区,19.0,43.0,29.0,14.0,17.0,27.0,"[467.7759445871981, 3418.9280636006038, 6775.680089963226, 6407.645219696543, 6797.739054008877, 10963.994892560566, 8056.264130071088, 4694.251136588175, 2112.4247335557557, 2943.121374384612, 2943.121374384612, 13246.598334940758, 5924.698319592077, 17923.476295632165, 28024.42457714109, 6410.205252420898]","[2244.3950431908975, 4114.51735317592, 12046.758227110551, 12016.572641394972, 6444.710749314234]"
526,526,385.0,47531.0,115,"[u'3', u'2', u'1', u'1']",81.0,80.0,0.9876543209876543,2008,20,2,None,4,"(24.46798, 118.11353)",思明区,22.0,63.0,46.0,21.0,69.0,23.0,"[3882.584290224063, 0, 3891.434466122505, 8086.659302152352, 3658.846653951972, 7564.836335313906, 4722.6403680071035, 1369.7166733018234, 4353.556200666784, 494.02138782170687, 494.02138782170687, 11910.868242147171, 8396.438440315818, 14580.250046418174, 26269.684552798037, 8583.067106861652]","[3004.181432030094, 3074.413894301752, 8719.982021511601, 8623.119402111874, 3495.118386308752]"
527,527,398.0,43737.0,119,"[u'3', u'2', u'1', u'1']",91.0,90.0,0.989010989010989,2001,28,2,None,5,"(24.48629, 118.12482)",思明区,36.0,123.0,42.0,21.0,10.0,32.0,"[5927.759146028616, 2328.7564332683605, 1636.051139005724, 8634.300061827738, 1336.6909133526888, 5604.344912205503, 3757.6732374779867, 1005.5771782203083, 6672.429168029283, 2796.813246034728, 2796.813246034728, 10219.591097598843, 9454.304821497264, 12443.761248563562, 24223.95120833464, 9421.24881495762]","[4244.660570144173, 3030.9203707742786, 6566.480392377329, 7107.7763627251725, 1224.6390448385928]"
528,528,4800.0,80000.0,1440,"[u'6', u'4', u'1', u'6']",600.0,588.0,0.98,2006,6,1,None,5,"(24.49775, 118.12219)",思明区,41.0,146.0,42.0,16.0,12.0,35.0,"[6601.815658996257, 3412.329510502382, 585.6692715626489, 8279.948930500188, 1081.162987943399, 5526.774108264718, 4582.62819507583, 2235.282014654003, 7636.919202032735, 3827.3216998223843, 3827.3216998223843, 8931.920840365694, 9366.97093282817, 11992.066145730842, 22954.231131587174, 9206.921125116727]","[4556.104734618577, 2862.9540934051247, 6182.044192428681, 7389.864466083739, 431.29644363315776]"
529,529,378.0,34679.0,113,"[u'3', u'2', u'1', u'2']",109.0,99.0,0.908256880733945,1996,30,1,None,4,"(24.48299, 118.12442)",思明区,37.0,118.0,46.0,21.0,12.0,29.0,"[5677.095843014169, 1995.7265823058399, 2003.7972262372073, 8653.994009975, 1664.7117465688254, 5787.625818698727, 3685.7910889706504, 646.258149913732, 6348.088917368725, 2473.6497277189665, 2473.6497277189665, 10554.993420952755, 9394.911473673126, 12689.94934641714, 24589.227906615346, 9397.859560991812]","[4110.615058489082, 3063.8348090849445, 6813.063562906256, 7185.076155753229, 1592.3409090258347]"
530,530,230.0,56098.0,69,"[u'2', u'2', u'1', u'1']",41.0,40.0,0.975609756097561,2006,28,2,None,5,"(24.50281, 118.14366)",湖里区,54.0,196.0,35.0,16.0,74.0,38.0,"[8563.08588011789, 4920.542222410885, 1722.1980510055214, 10473.169323153168, 1345.673260687987, 3299.4086733271843, 3528.1309125656103, 3551.003962146609, 9272.096814353557, 5405.405461258075, 5405.405461258075, 9390.627222388242, 11612.353754796986, 9837.680608310844, 22489.36948633897, 11435.822304616035]","[6717.296287575472, 5108.592675001784, 3978.0854769663492, 5335.986659773586, 1853.6653096671628]"
531,531,870.0,68504.0,261,"[u'3', u'2', u'1', u'2']",127.0,120.0,0.9448818897637795,2013,20,1,None,5,"(24.48784, 118.1279)",思明区,32.0,125.0,42.0,21.0,11.0,33.0,"[6279.783394741088, 2638.395604954351, 1456.4859407860376, 8921.46758164027, 1023.5634033384778, 5250.772961900547, 3535.030069699918, 1282.377997087757, 6990.430642193955, 3115.361133913654, 3115.361133913654, 10160.6972384355, 9779.0313347054, 12089.649673595071, 24056.444218746707, 9730.308772613194]","[4594.433059325853, 3323.0207108173854, 6212.103208392718, 6785.032500752749, 1053.1867625579398]"
532,532,850.0,67461.0,255,"[u'3', u'2', u'1', u'2']",126.0,120.0,0.9523809523809523,2013,30,3,None,5,"(24.48784, 118.1279)",思明区,32.0,125.0,42.0,21.0,11.0,33.0,"[6279.783394741088, 2638.395604954351, 1456.4859407860376, 8921.46758164027, 1023.5634033384778, 5250.772961900547, 3535.030069699918, 1282.377997087757, 6990.430642193955, 3115.361133913654, 3115.361133913654, 10160.6972384355, 9779.0313347054, 12089.649673595071, 24056.444218746707, 9730.308772613194]","[4594.433059325853, 3323.0207108173854, 6212.103208392718, 6785.032500752749, 1053.1867625579398]"
533,533,630.0,64286.0,189,"[u'2', u'2', u'1', u'1']",98.0,95.0,0.9693877551020408,2013,30,1,None,5,"(24.48784, 118.1279)",思明区,32.0,125.0,42.0,21.0,11.0,33.0,"[6279.783394741088, 2638.395604954351, 1456.4859407860376, 8921.46758164027, 1023.5634033384778, 5250.772961900547, 3535.030069699918, 1282.377997087757, 6990.430642193955, 3115.361133913654, 3115.361133913654, 10160.6972384355, 9779.0313347054, 12089.649673595071, 24056.444218746707, 9730.308772613194]","[4594.433059325853, 3323.0207108173854, 6212.103208392718, 6785.032500752749, 1053.1867625579398]"
534,534,270.0,27836.0,81,"[u'3', u'2', u'1', u'2']",97.0,,None,2015,33,2,None,1,"(24.60455, 118.12297)",集美区,11.0,79.0,8.0,8.0,18.0,18.0,"[17335.513634801464, 15157.520767756487, 11481.905266059566, 14518.2807166875, 12066.055643835702, 12251.929105280153, 14876.95198575371, 14065.375842438738, 18978.58773089567, 15502.747985233053, 15502.747985233053, 4547.0077367895365, 16584.152787696843, 11957.84123954549, 11124.201774412804, 15814.746642981108]","[14877.312031802963, 12985.431855197698, 10912.954276548848, 14513.781358572998, 11890.32200280241]"
535,535,1050.0,48838.0,315,"[u'5', u'3', u'1', u'3']",215.0,214.0,0.9953488372093023,2000,11,3,None,4,"(24.45829, 118.09288)",思明区,23.0,48.0,31.0,16.0,14.0,30.0,"[1535.6350765720133, 2352.679045527662, 5843.306076815993, 6850.035136157339, 5805.753880138758, 9908.043938487981, 6994.926179221371, 3648.559762136911, 2493.5488412980267, 1874.4051912736224, 1874.4051912736224, 12803.430963586121, 6652.188156721782, 16889.523335765152, 27496.62867292811, 7033.1500966133035]","[2005.3856964730708, 3531.345441268409, 11016.092130768278, 10948.756166436844, 5493.2751035366455]"
